2026-03-10 02:27:38.216 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-26: Raw parquet missing for 2022-05-26: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-26.parquet
2026-03-10 02:27:38.217 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-27: Raw parquet missing for 2022-05-27: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-27.parquet
2026-03-10 02:27:38.217 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-30: Raw parquet missing for 2022-05-30: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-30.parquet
2026-03-10 02:27:38.217 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-31: Raw parquet missing for 2022-05-31: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-31.parquet
2026-03-10 02:27:38.217 | WARNING  | __main__:119 |   Preprocess skipped 2022-06-01: Raw parquet missing for 2022-06-01: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\06\master_2022-06-01.parquet
2026-03-10 02:27:38.217 | WARNING  | __main__:119 |   Preprocess skipped 2022-06-02: Raw parquet missing for 2022-06-02: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\06\master_2022-06-02.parquet
2026-03-10 02:27:38.218 | WARNING  | __main__:119 |   Preprocess skipped 2022-06-03: Raw parquet missing for 2022-06-03: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\06\master_2022-06-03.parquet
2026-03-10 02:27:38.218 | WARNING  | __main__:119 |   Preprocess skipped 2022-06-06: Raw parquet missing for 2022-06-06: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\06\master_2022-06-06.parquet
2026-03-10 02:27:38.218 | WARNING  | __main__:119 |   Preprocess skipped 2022-06-07: Raw parquet missing for 2022-06-07: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\06\master_2022-06-07.parquet
2026-03-10 02:27:38.219 | WARNING  | __main__:119 |   Preprocess skipped 2022-06-08: Raw parquet missing for 2022-06-08: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\06\master_2022-06-08.parquet
2026-03-10 02:27:38.219 | WARNING  | __main__:119 |   Preprocess skipped 2022-06-09: Raw parquet missing for 2022-06-09: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\06\master_2022-06-09.parquet
2026-03-10 02:27:38.219 | WARNING  | __main__:119 |   Preprocess skipped 2022-06-10: Raw parquet missing for 2022-06-10: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\06\master_2022-06-10.parquet
2026-03-10 02:27:38.220 | WARNING  | __main__:119 |   Preprocess skipped 2022-06-13: Raw parquet missing for 2022-06-13: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\06\master_2022-06-13.parquet
2026-03-10 02:27:38.220 | WARNING  | __main__:119 |   Preprocess skipped 2022-06-14: Raw parquet missing for 2022-06-14: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\06\master_2022-06-14.parquet
2026-03-10 02:27:38.220 | WARNING  | __main__:119 |   Preprocess skipped 2022-06-15: Raw parquet missing for 2022-06-15: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\06\master_2022-06-15.parquet
2026-03-10 02:27:38.221 | WARNING  | __main__:119 |   Preprocess skipped 2022-06-16: Raw parquet missing for 2022-06-16: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\06\master_2022-06-16.parquet
2026-03-10 02:27:38.221 | WARNING  | __main__:119 |   Preprocess skipped 2022-06-17: Raw parquet missing for 2022-06-17: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\06\master_2022-06-17.parquet
2026-03-10 02:27:38.221 | WARNING  | __main__:119 |   Preprocess skipped 2022-06-20: Raw parquet missing for 2022-06-20: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\06\master_2022-06-20.parquet
2026-03-10 02:27:38.222 | WARNING  | __main__:119 |   Preprocess skipped 2022-06-21: Raw parquet missing for 2022-06-21: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\06\master_2022-06-21.parquet
2026-03-10 02:27:38.222 | WARNING  | __main__:119 |   Preprocess skipped 2022-06-22: Raw parquet missing for 2022-06-22: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\06\master_2022-06-22.parquet
2026-03-10 02:27:38.222 | WARNING  | __main__:119 |   Preprocess skipped 2022-06-23: Raw parquet missing for 2022-06-23: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\06\master_2022-06-23.parquet
2026-03-10 02:27:38.222 | WARNING  | __main__:119 |   Preprocess skipped 2022-06-24: Raw parquet missing for 2022-06-24: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\06\master_2022-06-24.parquet
